cell,suite,dataset,model,instance_idx,completion_chars,n_images,judge_model,on_task,garbled,cannot_evaluate,reason
yesbut:model=openai_gpt-4o-mini,modal_phase1c_n50_mmext,yesbut,openai/gpt-4o-mini,2,443,1,x-ai/grok-4.1-fast,True,False,False,"Response explains image's humor by contrasting panels, directly engaging prompt."
artinsight:model=mistralai_mistral-large-2512,modal_phase1c_n50_mmext,artinsight,mistralai/mistral-large-2512,0,2571,1,x-ai/grok-4.1-fast,True,False,False,"Detailed paragraph description of artwork elements, colors, and composition engages prompt."
artinsight:model=mistralai_mistral-large-2512,modal_phase1c_n50_mmext,artinsight,mistralai/mistral-large-2512,1,3526,1,x-ai/grok-4.1-fast,True,False,False,Detailed factual description in paragraphs engages image and prompt fully.
artinsight:model=mistralai_mistral-large-2512,modal_phase1c_n50_mmext,artinsight,mistralai/mistral-large-2512,2,2266,1,x-ai/grok-4.1-fast,True,False,False,"Response delivers detailed, paragraph-form description of artwork elements, engaging prompt and image."
artinsight:model=openai_gpt-5.4,modal_phase1c_n50_mmext,artinsight,openai/gpt-5.4,0,3773,1,x-ai/grok-4.1-fast,True,False,False,"Detailed, factual paragraph description of artwork engages prompt fully without interpretation."
artinsight:model=openai_gpt-5.4,modal_phase1c_n50_mmext,artinsight,openai/gpt-5.4,1,5036,1,x-ai/grok-4.1-fast,True,False,False,Detailed factual description engages artwork description task fully.
artinsight:model=openai_gpt-5.4,modal_phase1c_n50_mmext,artinsight,openai/gpt-5.4,2,3465,1,x-ai/grok-4.1-fast,True,False,False,Detailed factual description of artwork matches image and prompt guidelines.
yesbut:model=openai_gpt-4.1-mini,modal_phase1c_n50_mmext,yesbut,openai/gpt-4.1-mini,0,623,1,x-ai/grok-4.1-fast,True,False,False,Response intelligibly explains the image's satirical irony of anti-capitalist using capitalist products.
yesbut:model=openai_gpt-4.1-mini,modal_phase1c_n50_mmext,yesbut,openai/gpt-4.1-mini,1,234,1,x-ai/grok-4.1-fast,True,False,False,"Response directly explains why image is satirical, engaging prompt and image content."
yesbut:model=openai_gpt-4.1-mini,modal_phase1c_n50_mmext,yesbut,openai/gpt-4.1-mini,2,547,1,x-ai/grok-4.1-fast,True,False,False,Response intelligibly explains image's satirical humor on sweater comfort vs. itchy tag irritation.
esp_dataset:model=qwen_qwen3-vl-8b-instruct,modal_phase1c_n50_mmext,esp_dataset,qwen/qwen3-vl-8b-instruct,0,78,1,x-ai/grok-4.1-fast,True,False,False,"Clear news-style caption describing image's clock tower, dusk, cars."
esp_dataset:model=qwen_qwen3-vl-8b-instruct,modal_phase1c_n50_mmext,esp_dataset,qwen/qwen3-vl-8b-instruct,1,356,1,x-ai/grok-4.1-fast,True,False,False,Response provides coherent instruction-style caption describing the image.
esp_dataset:model=qwen_qwen3-vl-8b-instruct,modal_phase1c_n50_mmext,esp_dataset,qwen/qwen3-vl-8b-instruct,2,81,1,x-ai/grok-4.1-fast,True,False,False,"Clear news-style caption describing Yankees batter and crowd, directly engaging image and prompt."
mars:model=openai_gpt-5.4,modal_phase1c_n50_mmext,mars,openai/gpt-5.4,0,14,0,x-ai/grok-4.1-fast,True,False,False,Provides expected 'Answer: Qxxxx' format for the analogy task.
mars:model=openai_gpt-5.4,modal_phase1c_n50_mmext,mars,openai/gpt-5.4,1,6,0,x-ai/grok-4.1-fast,True,False,False,Provides Q-code in exact format matching prior analogy answers.
mars:model=openai_gpt-5.4,modal_phase1c_n50_mmext,mars,openai/gpt-5.4,2,5,0,x-ai/grok-4.1-fast,True,False,False,"Provides Q-ID matching example format, engaging analogy task."
esp_dataset:model=x-ai_grok-4-fast,modal_phase1c_n50_mmext,esp_dataset,x-ai/grok-4-fast,0,62,1,x-ai/grok-4.1-fast,True,False,False,Clear news-style caption describing the image of Union Station at dusk.
esp_dataset:model=x-ai_grok-4-fast,modal_phase1c_n50_mmext,esp_dataset,x-ai/grok-4-fast,1,622,1,x-ai/grok-4.1-fast,True,False,False,Response is a coherent instruction-style caption describing the model train image accurately.
esp_dataset:model=x-ai_grok-4-fast,modal_phase1c_n50_mmext,esp_dataset,x-ai/grok-4-fast,2,204,1,x-ai/grok-4.1-fast,True,False,False,"Response is a clear, intelligible news-style caption describing the image."
infochartqa:model=anthropic_claude-opus-4.5,modal_phase1c_n50_mmext,infochartqa,anthropic/claude-opus-4.5,0,5,1,x-ai/grok-4.1-fast,True,False,False,"Response provides average percentage from chart, matching prompt exactly."
infochartqa:model=anthropic_claude-opus-4.5,modal_phase1c_n50_mmext,infochartqa,anthropic/claude-opus-4.5,1,2,1,x-ai/grok-4.1-fast,True,False,False,"Response identifies a chart node as instructed, engaging the task."
infochartqa:model=anthropic_claude-opus-4.5,modal_phase1c_n50_mmext,infochartqa,anthropic/claude-opus-4.5,2,2,1,x-ai/grok-4.1-fast,True,False,False,"Response is 'No', directly answering the yes/no prompt based on chart."
irfl:model=z-ai_glm-4.5v,modal_phase1c_n50_mmext,irfl,z-ai/glm-4.5v,0,43,4,x-ai/grok-4.1-fast,True,False,False,"Response starts analyzing the task, showing engagement with prompt despite truncation."
irfl:model=z-ai_glm-4.5v,modal_phase1c_n50_mmext,irfl,z-ai/glm-4.5v,1,37,4,x-ai/grok-4.1-fast,True,False,False,Intelligible start to reasoning about selecting best image for expression.
irfl:model=z-ai_glm-4.5v,modal_phase1c_n50_mmext,irfl,z-ai/glm-4.5v,2,36,4,x-ai/grok-4.1-fast,False,True,False,Cuts off mid-sentence before selecting option or producing meaningful content.
banner_request_400:model=meta-llama_llama-4-maverick,modal_phase1c_n50_mmext,banner_request_400,meta-llama/llama-4-maverick,0,1318,1,x-ai/grok-4.1-fast,True,False,False,"Valid JSON blueprint with specified elements, positions, and schema matching banner request."
banner_request_400:model=meta-llama_llama-4-maverick,modal_phase1c_n50_mmext,banner_request_400,meta-llama/llama-4-maverick,1,1681,1,x-ai/grok-4.1-fast,True,False,False,"Produces valid JSON schema with elements matching banner request texts, positions, and colors."
banner_request_400:model=meta-llama_llama-4-maverick,modal_phase1c_n50_mmext,banner_request_400,meta-llama/llama-4-maverick,2,1621,1,x-ai/grok-4.1-fast,True,False,False,Response is valid JSON blueprint engaging banner design task with prompt elements and logo.
ii_bench:model=xiaomi_mimo-v2.5,modal_phase1c_n50_mmext,ii_bench,xiaomi/mimo-v2.5,0,1,1,x-ai/grok-4.1-fast,True,False,False,"Response provides single letter 'C' as instructed, engaging the multiple-choice task."
ii_bench:model=xiaomi_mimo-v2.5,modal_phase1c_n50_mmext,ii_bench,xiaomi/mimo-v2.5,1,1,1,x-ai/grok-4.1-fast,True,False,False,"Response selects 'B', directly matching prompt's instruction for single letter answer."
ii_bench:model=xiaomi_mimo-v2.5,modal_phase1c_n50_mmext,ii_bench,xiaomi/mimo-v2.5,2,1,1,x-ai/grok-4.1-fast,True,False,False,"Response selects single letter E as instructed, directly engaging the multiple-choice prompt."
puzzleworld:model=qwen_qwen3-vl-32b-instruct,modal_phase1c_n50_mmext,puzzleworld,qwen/qwen3-vl-32b-instruct,0,12003,0,x-ai/grok-4.1-fast,True,False,False,"Step-by-step analysis of puzzle clues and grid, engaging the solving task despite truncation."
puzzleworld:model=qwen_qwen3-vl-32b-instruct,modal_phase1c_n50_mmext,puzzleworld,qwen/qwen3-vl-32b-instruct,1,10193,0,x-ai/grok-4.1-fast,True,False,False,"Detailed step-by-step puzzle solving engages task, solves 8/10 equations before truncation."
puzzleworld:model=qwen_qwen3-vl-32b-instruct,modal_phase1c_n50_mmext,puzzleworld,qwen/qwen3-vl-32b-instruct,2,12308,0,x-ai/grok-4.1-fast,True,False,False,"Response attempts step-by-step puzzle solving with image interpretations, engaging task despite truncation."
yesbut:model=bytedance-seed_seed-2.0-lite,modal_phase1c_n50_mmext,yesbut,bytedance-seed/seed-2.0-lite,0,725,1,x-ai/grok-4.1-fast,True,False,False,"Response directly explains image's satire on hypocritical anti-capitalism, engaging prompt."
yesbut:model=bytedance-seed_seed-2.0-lite,modal_phase1c_n50_mmext,yesbut,bytedance-seed/seed-2.0-lite,1,901,1,x-ai/grok-4.1-fast,True,False,False,"Response intelligibly explains image's satire on beauty contradiction, directly engaging prompt."
yesbut:model=bytedance-seed_seed-2.0-lite,modal_phase1c_n50_mmext,yesbut,bytedance-seed/seed-2.0-lite,2,858,1,x-ai/grok-4.1-fast,True,False,False,Response intelligibly explains image's satire on off-the-shoulder sweater tag irritation.
rebus_puzzle:model=x-ai_grok-4.1-fast,modal_phase1c_n50_mmext,rebus_puzzle,x-ai/grok-4.1-fast,0,654,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with answer and reasoning engaging the rebus puzzle image.
rebus_puzzle:model=x-ai_grok-4.1-fast,modal_phase1c_n50_mmext,rebus_puzzle,x-ai/grok-4.1-fast,1,727,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with answer and reasoning engaging rebus image and prompt.
rebus_puzzle:model=x-ai_grok-4.1-fast,modal_phase1c_n50_mmext,rebus_puzzle,x-ai/grok-4.1-fast,2,717,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with answer and detailed reasoning engaging the rebus puzzle image.
irfl:model=mistralai_ministral-8b-2512,modal_phase1c_n50_mmext,irfl,mistralai/ministral-8b-2512,0,1,4,x-ai/grok-4.1-fast,True,False,False,"Response selects 'D', directly engaging the image selection task."
irfl:model=mistralai_ministral-8b-2512,modal_phase1c_n50_mmext,irfl,mistralai/ministral-8b-2512,1,1,4,x-ai/grok-4.1-fast,True,False,False,"Response selects 'D', directly engaging the task of choosing one image option."
irfl:model=mistralai_ministral-8b-2512,modal_phase1c_n50_mmext,irfl,mistralai/ministral-8b-2512,2,4,4,x-ai/grok-4.1-fast,True,False,False,"Response selects 'D', directly engaging the image selection task."
artinsight:model=openai_gpt-4.1-mini,modal_phase1c_n50_mmext,artinsight,openai/gpt-4.1-mini,0,1766,1,x-ai/grok-4.1-fast,True,False,False,"Response provides detailed, factual, paragraph-form description engaging the artwork and prompt."
artinsight:model=openai_gpt-4.1-mini,modal_phase1c_n50_mmext,artinsight,openai/gpt-4.1-mini,1,1715,1,x-ai/grok-4.1-fast,True,False,False,"Detailed, factual paragraph description of artwork matches prompt guidelines."
artinsight:model=openai_gpt-4.1-mini,modal_phase1c_n50_mmext,artinsight,openai/gpt-4.1-mini,2,1480,1,x-ai/grok-4.1-fast,True,False,False,"Response delivers factual, detailed paragraph description of artwork, engaging prompt and image."
rebus_puzzle:model=meta-llama_llama-3.2-11b-vision-instruct,modal_phase1c_n50_mmext,rebus_puzzle,meta-llama/llama-3.2-11b-vision-instruct,0,1183,1,x-ai/grok-4.1-fast,True,False,False,"Response describes image, reasons about rebus puzzle, attempts solution despite missing JSON format."
rebus_puzzle:model=meta-llama_llama-3.2-11b-vision-instruct,modal_phase1c_n50_mmext,rebus_puzzle,meta-llama/llama-3.2-11b-vision-instruct,1,183,1,x-ai/grok-4.1-fast,True,False,False,Response is valid JSON with answer and reasoning attempting to solve rebus puzzle.
rebus_puzzle:model=meta-llama_llama-3.2-11b-vision-instruct,modal_phase1c_n50_mmext,rebus_puzzle,meta-llama/llama-3.2-11b-vision-instruct,2,498,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with answer and reasoning engaging the rebus puzzle task.
infochartqa:model=openai_gpt-5.5,modal_phase1c_n50_mmext,infochartqa,openai/gpt-5.5,0,5,1,x-ai/grok-4.1-fast,True,False,False,"Response directly gives average percentage from chart problems, matching prompt."
infochartqa:model=openai_gpt-5.5,modal_phase1c_n50_mmext,infochartqa,openai/gpt-5.5,1,2,1,x-ai/grok-4.1-fast,True,False,False,"Response 'UK' directly identifies a chart node, engaging the minimum value query."
infochartqa:model=openai_gpt-5.5,modal_phase1c_n50_mmext,infochartqa,openai/gpt-5.5,2,2,1,x-ai/grok-4.1-fast,True,False,False,Direct 'No' response engages the yes/no comparison task.
artinsight:model=meta-llama_llama-4-scout,modal_phase1c_n50_mmext,artinsight,meta-llama/llama-4-scout,0,1165,1,x-ai/grok-4.1-fast,True,False,False,"Response delivers paragraph-form description of artwork elements, colors, and composition, directly engaging the prompt."
artinsight:model=meta-llama_llama-4-scout,modal_phase1c_n50_mmext,artinsight,meta-llama/llama-4-scout,1,1143,1,x-ai/grok-4.1-fast,True,False,False,"Response delivers paragraph-form factual description of artwork elements, colors, and composition, directly engaging the prompt."
artinsight:model=meta-llama_llama-4-scout,modal_phase1c_n50_mmext,artinsight,meta-llama/llama-4-scout,2,735,1,x-ai/grok-4.1-fast,True,False,False,"Response describes artwork factually in paragraphs, covering colors, shapes, positions, and materials as prompted."
ii_bench:model=qwen_qwen-vl-max,modal_phase1c_n50_mmext,ii_bench,qwen/qwen-vl-max,0,1,1,x-ai/grok-4.1-fast,True,False,False,"Response provides single letter 'C', directly engaging multiple-choice task."
ii_bench:model=qwen_qwen-vl-max,modal_phase1c_n50_mmext,ii_bench,qwen/qwen-vl-max,1,1,1,x-ai/grok-4.1-fast,True,False,False,"Response selects single letter B as prompted, directly engaging the multiple-choice task."
ii_bench:model=qwen_qwen-vl-max,modal_phase1c_n50_mmext,ii_bench,qwen/qwen-vl-max,2,1,1,x-ai/grok-4.1-fast,True,False,False,"Response selects single letter E as instructed, directly engaging the multiple-choice task."
yesbut:model=x-ai_grok-4.1-fast,modal_phase1c_n50_mmext,yesbut,x-ai/grok-4.1-fast,0,185,1,x-ai/grok-4.1-fast,True,False,False,"Response explains why the meme is satirical, directly engaging prompt and image content."
yesbut:model=x-ai_grok-4.1-fast,modal_phase1c_n50_mmext,yesbut,x-ai/grok-4.1-fast,1,149,1,x-ai/grok-4.1-fast,True,False,False,"Response explains satire of image, directly engaging prompt."
yesbut:model=x-ai_grok-4.1-fast,modal_phase1c_n50_mmext,yesbut,x-ai/grok-4.1-fast,2,256,1,x-ai/grok-4.1-fast,True,False,False,"Response directly explains image's satire via improv 'yes, and' vs 'yes, but', engaging prompt."
rebus_puzzle:model=mistralai_pixtral-large-2411,modal_phase1c_n50_mmext,rebus_puzzle,mistralai/pixtral-large-2411,0,576,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with rebus solution and reasoning engaging image and prompt.
rebus_puzzle:model=mistralai_pixtral-large-2411,modal_phase1c_n50_mmext,rebus_puzzle,mistralai/pixtral-large-2411,1,404,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON response solves rebus puzzle with answer and detailed reasoning based on image.
rebus_puzzle:model=mistralai_pixtral-large-2411,modal_phase1c_n50_mmext,rebus_puzzle,mistralai/pixtral-large-2411,2,613,1,x-ai/grok-4.1-fast,True,False,False,Response is valid JSON with answer and reasoning engaging the rebus puzzle.
ii_bench:model=mistralai_mistral-medium-3.1,modal_phase1c_n50_mmext,ii_bench,mistralai/mistral-medium-3.1,0,1,1,x-ai/grok-4.1-fast,True,False,False,"Response selects single letter A, directly engaging the multiple-choice prompt."
ii_bench:model=mistralai_mistral-medium-3.1,modal_phase1c_n50_mmext,ii_bench,mistralai/mistral-medium-3.1,1,1,1,x-ai/grok-4.1-fast,True,False,False,"Response selects single letter B as instructed, engaging the multiple-choice task."
ii_bench:model=mistralai_mistral-medium-3.1,modal_phase1c_n50_mmext,ii_bench,mistralai/mistral-medium-3.1,2,1,1,x-ai/grok-4.1-fast,True,False,False,"Response selects single letter A as prompted, directly engaging the multiple-choice task."
esp_dataset:model=x-ai_grok-4.1-fast,modal_phase1c_n50_mmext,esp_dataset,x-ai/grok-4.1-fast,0,122,1,x-ai/grok-4.1-fast,True,False,False,"Clear news-style caption describing image's key elements: clock tower, station, evening scene, traffic."
esp_dataset:model=x-ai_grok-4.1-fast,modal_phase1c_n50_mmext,esp_dataset,x-ai/grok-4.1-fast,1,636,1,x-ai/grok-4.1-fast,True,False,False,Response is a coherent instruction-style caption accurately describing the image.
esp_dataset:model=x-ai_grok-4.1-fast,modal_phase1c_n50_mmext,esp_dataset,x-ai/grok-4.1-fast,2,74,1,x-ai/grok-4.1-fast,True,False,False,Provides concise news-style caption describing the baseball image.
rebus_puzzle:model=qwen_qwen3.5-flash-02-23,modal_phase1c_n50_mmext,rebus_puzzle,qwen/qwen3.5-flash-02-23,0,920,1,x-ai/grok-4.1-fast,True,False,False,JSON response with answer and partial reasoning engages rebus puzzle task.
rebus_puzzle:model=qwen_qwen3.5-flash-02-23,modal_phase1c_n50_mmext,rebus_puzzle,qwen/qwen3.5-flash-02-23,1,1063,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with answer and detailed reasoning engaging the rebus puzzle image and prompt.
rebus_puzzle:model=qwen_qwen3.5-flash-02-23,modal_phase1c_n50_mmext,rebus_puzzle,qwen/qwen3.5-flash-02-23,2,615,1,x-ai/grok-4.1-fast,True,False,False,Response is valid JSON engaging rebus puzzle with answer and detailed reasoning.
ii_bench:model=meta-llama_llama-4-maverick,modal_phase1c_n50_mmext,ii_bench,meta-llama/llama-4-maverick,0,2,1,x-ai/grok-4.1-fast,True,False,False,"Response selects single letter D, directly engaging the multiple-choice task."
ii_bench:model=meta-llama_llama-4-maverick,modal_phase1c_n50_mmext,ii_bench,meta-llama/llama-4-maverick,1,2,1,x-ai/grok-4.1-fast,True,False,False,"Response provides single letter 'B' as instructed, directly engaging the multiple-choice task."
ii_bench:model=meta-llama_llama-4-maverick,modal_phase1c_n50_mmext,ii_bench,meta-llama/llama-4-maverick,2,71,1,x-ai/grok-4.1-fast,False,False,False,Response begins analysis but does not select or reply with a single letter as required.
infochartqa:model=qwen_qwen3-vl-235b-a22b-instruct,modal_phase1c_n50_mmext,infochartqa,qwen/qwen3-vl-235b-a22b-instruct,0,6,1,x-ai/grok-4.1-fast,True,False,False,Response directly provides average percentage from chart problems.
infochartqa:model=qwen_qwen3-vl-235b-a22b-instruct,modal_phase1c_n50_mmext,infochartqa,qwen/qwen3-vl-235b-a22b-instruct,1,2,1,x-ai/grok-4.1-fast,True,False,False,"Response identifies a chart node as minimum value, directly engaging prompt."
infochartqa:model=qwen_qwen3-vl-235b-a22b-instruct,modal_phase1c_n50_mmext,infochartqa,qwen/qwen3-vl-235b-a22b-instruct,2,2,1,x-ai/grok-4.1-fast,True,False,False,"Response is 'No', directly engaging the binary yes/no task from prompt and chart."
banner_request_400:model=openai_gpt-5.4,modal_phase1c_n50_mmext,banner_request_400,openai/gpt-5.4,0,3095,1,x-ai/grok-4.1-fast,True,False,False,"Structured JSON blueprint with logo, headline, shapes matching prompt; truncated but meaningful."
banner_request_400:model=openai_gpt-5.4,modal_phase1c_n50_mmext,banner_request_400,openai/gpt-5.4,1,2658,1,x-ai/grok-4.1-fast,True,False,False,"Valid JSON blueprint matching schema, uses logo and prompt texts with positions/sizes."
banner_request_400:model=openai_gpt-5.4,modal_phase1c_n50_mmext,banner_request_400,openai/gpt-5.4,2,3070,1,x-ai/grok-4.1-fast,True,False,False,"Produces JSON blueprint with shapes for glassware and headline, engaging banner design task."
creation_mmbench:model=amazon_nova-premier-v1,modal_phase1c_n50_mmext,creation_mmbench,amazon/nova-premier-v1,0,3647,1,x-ai/grok-4.1-fast,True,False,False,"Detailed 2-day plan with schedules, reasons, backgrounds, using map's London attractions and preferences."
creation_mmbench:model=amazon_nova-premier-v1,modal_phase1c_n50_mmext,creation_mmbench,amazon/nova-premier-v1,1,3282,1,x-ai/grok-4.1-fast,True,False,False,"Response delivers detailed, beginner-friendly fried rice recipe matching image and prompt requirements."
creation_mmbench:model=amazon_nova-premier-v1,modal_phase1c_n50_mmext,creation_mmbench,amazon/nova-premier-v1,2,333,1,x-ai/grok-4.1-fast,True,False,False,Clear promotional tweet draws attention and highlights novelty of Agent Laboratory from image.
mars:model=qwen_qwen3.6-plus,modal_phase1c_n50_mmext,mars,qwen/qwen3.6-plus,0,6,0,x-ai/grok-4.1-fast,True,False,False,"Response provides Q-ID matching format of example answers, engaging analogy task."
mars:model=qwen_qwen3.6-plus,modal_phase1c_n50_mmext,mars,qwen/qwen3.6-plus,1,6,0,x-ai/grok-4.1-fast,True,False,False,"Response provides Q-code, engaging analogy completion task per prompt pattern."
mars:model=qwen_qwen3.6-plus,modal_phase1c_n50_mmext,mars,qwen/qwen3.6-plus,2,6,0,x-ai/grok-4.1-fast,True,False,False,"Provides Q-code directly, matching analogy completion pattern in prompt."
puzzleworld:model=xiaomi_mimo-v2-omni,modal_phase1c_n50_mmext,puzzleworld,xiaomi/mimo-v2-omni,0,12977,0,x-ai/grok-4.1-fast,True,False,False,"Response engages puzzle by analyzing theme, clues, and layouts step-by-step."
puzzleworld:model=xiaomi_mimo-v2-omni,modal_phase1c_n50_mmext,puzzleworld,xiaomi/mimo-v2-omni,1,15308,0,x-ai/grok-4.1-fast,True,False,False,Intelligible step-by-step reasoning engages puzzle-solving task by transcribing and analyzing equations.
puzzleworld:model=xiaomi_mimo-v2-omni,modal_phase1c_n50_mmext,puzzleworld,xiaomi/mimo-v2-omni,2,14138,0,x-ai/grok-4.1-fast,True,False,False,"Detailed step-by-step reasoning engages puzzle theme, flavor text, and described images."
puzzleworld:model=bytedance-seed_seed-2.0-lite,modal_phase1c_n50_mmext,puzzleworld,bytedance-seed/seed-2.0-lite,0,1343,0,x-ai/grok-4.1-fast,True,False,False,Response engages puzzle with step-by-step solving and required Answer format.
puzzleworld:model=bytedance-seed_seed-2.0-lite,modal_phase1c_n50_mmext,puzzleworld,bytedance-seed/seed-2.0-lite,1,2215,0,x-ai/grok-4.1-fast,True,False,False,Response solves puzzle step-by-step with detailed equations and ends in required format.
puzzleworld:model=bytedance-seed_seed-2.0-lite,modal_phase1c_n50_mmext,puzzleworld,bytedance-seed/seed-2.0-lite,2,718,0,x-ai/grok-4.1-fast,True,False,False,Clear step-by-step puzzle solution engaging theme and ending in required format.
mars:model=moonshotai_kimi-k2.5,modal_phase1c_n50_mmext,mars,moonshotai/kimi-k2.5,0,6,0,x-ai/grok-4.1-fast,True,False,False,Provides Q-code directly matching the analogy completion pattern in prompt.
mars:model=moonshotai_kimi-k2.5,modal_phase1c_n50_mmext,mars,moonshotai/kimi-k2.5,1,6,0,x-ai/grok-4.1-fast,True,False,False,Provides Q-code matching pattern of prior analogy answers.
mars:model=moonshotai_kimi-k2.5,modal_phase1c_n50_mmext,mars,moonshotai/kimi-k2.5,2,6,0,x-ai/grok-4.1-fast,True,False,False,"Provides Q-code in exact format of examples, engaging analogy completion task."
infochartqa:model=google_gemma-4-26b-a4b-it,modal_phase1c_n50_mmext,infochartqa,google/gemma-4-26b-a4b-it,0,18,1,x-ai/grok-4.1-fast,True,False,False,"Response provides average percentage value, engaging the chart analysis task."
infochartqa:model=google_gemma-4-26b-a4b-it,modal_phase1c_n50_mmext,infochartqa,google/gemma-4-26b-a4b-it,1,8,1,x-ai/grok-4.1-fast,True,False,False,"Response provides a chart value, engaging minimum value identification task."
infochartqa:model=google_gemma-4-26b-a4b-it,modal_phase1c_n50_mmext,infochartqa,google/gemma-4-26b-a4b-it,2,3,1,x-ai/grok-4.1-fast,True,False,False,"Response is 'Yes', directly engaging the binary Yes/No task from prompt and chart."
irfl:model=google_gemma-4-31b-it,modal_phase1c_n50_mmext,irfl,google/gemma-4-31b-it,0,37,4,x-ai/grok-4.1-fast,False,True,False,"Response truncated mid-sentence without selecting A-D, no meaningful task engagement."
irfl:model=google_gemma-4-31b-it,modal_phase1c_n50_mmext,irfl,google/gemma-4-31b-it,1,46,4,x-ai/grok-4.1-fast,False,False,False,"Incomplete response restates expression but ignores selecting A, B, C, or D."
irfl:model=google_gemma-4-31b-it,modal_phase1c_n50_mmext,irfl,google/gemma-4-31b-it,2,48,4,x-ai/grok-4.1-fast,False,True,False,"Truncated mid-sentence without selecting A, B, C, or D."
mars:model=google_gemma-3-27b-it,modal_phase1c_n50_mmext,mars,google/gemma-3-27b-it,0,14,0,x-ai/grok-4.1-fast,True,False,False,"Response provides Q-code in expected format, engaging analogy completion task."
mars:model=google_gemma-3-27b-it,modal_phase1c_n50_mmext,mars,google/gemma-3-27b-it,1,98,0,x-ai/grok-4.1-fast,True,False,False,"Response starts engaging task by recognizing pattern, though incomplete."
mars:model=google_gemma-3-27b-it,modal_phase1c_n50_mmext,mars,google/gemma-3-27b-it,2,98,0,x-ai/grok-4.1-fast,False,True,False,Response starts intro but cuts off without providing any analogy answers or QIDs.
creation_mmbench:model=google_gemma-3-27b-it,modal_phase1c_n50_mmext,creation_mmbench,google/gemma-3-27b-it,0,6664,1,x-ai/grok-4.1-fast,True,False,False,"Detailed 2-day itinerary engages map and preferences with schedule, reasons, backgrounds, and optimizations."
creation_mmbench:model=google_gemma-3-27b-it,modal_phase1c_n50_mmext,creation_mmbench,google/gemma-3-27b-it,1,4464,1,x-ai/grok-4.1-fast,True,False,False,"Detailed fried rice recipe matches image, includes ingredients, steps, measurements, beginner-friendly and engaging."
creation_mmbench:model=google_gemma-3-27b-it,modal_phase1c_n50_mmext,creation_mmbench,google/gemma-3-27b-it,2,2491,1,x-ai/grok-4.1-fast,True,False,False,"Provides multiple tweet options promoting the Agent Laboratory work from image, drawing attention and highlighting novelty."
esp_dataset:model=amazon_nova-premier-v1,modal_phase1c_n50_mmext,esp_dataset,amazon/nova-premier-v1,0,106,1,x-ai/grok-4.1-fast,True,False,False,"Response is a concise, intelligible news-style caption describing key image elements."
esp_dataset:model=amazon_nova-premier-v1,modal_phase1c_n50_mmext,esp_dataset,amazon/nova-premier-v1,1,43,1,x-ai/grok-4.1-fast,False,False,False,Response ignores prompt; provides generic instruction instead of image-specific instruction-style caption.
esp_dataset:model=amazon_nova-premier-v1,modal_phase1c_n50_mmext,esp_dataset,amazon/nova-premier-v1,2,558,1,x-ai/grok-4.1-fast,True,False,False,"Response coherently describes baseball image, engaging the description task."
banner_request_400:model=z-ai_glm-4.5v,modal_phase1c_n50_mmext,banner_request_400,z-ai/glm-4.5v,0,1322,1,x-ai/grok-4.1-fast,True,False,False,Produces complete JSON blueprint matching schema with all prompt-specified elements and positions.
banner_request_400:model=z-ai_glm-4.5v,modal_phase1c_n50_mmext,banner_request_400,z-ai/glm-4.5v,1,1198,1,x-ai/grok-4.1-fast,True,False,False,"Produces complete, valid JSON blueprint with required elements matching prompt content and schema."
banner_request_400:model=z-ai_glm-4.5v,modal_phase1c_n50_mmext,banner_request_400,z-ai/glm-4.5v,2,1301,1,x-ai/grok-4.1-fast,True,False,False,Produces structured JSON blueprint with required elements matching prompt request.
infochartqa:model=qwen_qwen-vl-max,modal_phase1c_n50_mmext,infochartqa,qwen/qwen-vl-max,0,5,1,x-ai/grok-4.1-fast,True,False,False,"Response directly provides computed average percentage from chart, engaging prompt."
infochartqa:model=qwen_qwen-vl-max,modal_phase1c_n50_mmext,infochartqa,qwen/qwen-vl-max,1,2,1,x-ai/grok-4.1-fast,True,False,False,"Response 'UK' names a chart node, engaging the task of identifying minimum value node."
infochartqa:model=qwen_qwen-vl-max,modal_phase1c_n50_mmext,infochartqa,qwen/qwen-vl-max,2,2,1,x-ai/grok-4.1-fast,True,False,False,"Response is 'No', directly engaging the yes/no comparison task from prompt and chart."
ii_bench:model=meta-llama_llama-3.2-11b-vision-instruct,modal_phase1c_n50_mmext,ii_bench,meta-llama/llama-3.2-11b-vision-instruct,0,78,1,x-ai/grok-4.1-fast,True,False,False,"Response selects C and restates option, engaging meme's humorous point."
ii_bench:model=meta-llama_llama-3.2-11b-vision-instruct,modal_phase1c_n50_mmext,ii_bench,meta-llama/llama-3.2-11b-vision-instruct,1,9,1,x-ai/grok-4.1-fast,True,False,False,Directly answers with single letter B as prompted.
ii_bench:model=meta-llama_llama-3.2-11b-vision-instruct,modal_phase1c_n50_mmext,ii_bench,meta-llama/llama-3.2-11b-vision-instruct,2,2,1,x-ai/grok-4.1-fast,True,False,False,"Response selects single letter E as instructed, directly engaging the multiple-choice prompt."
