model,dataset,n_items,mean_chars,empty_rate,short_rate,refusal_rate,repetitive_rate,audit_n,audit_on_task,audit_garbled,heur_issue,audit_issue,status
meta-llama/llama-3.2-3b-instruct,data_narrative,50,822.8,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3.3-70b-instruct,data_narrative,200,863.325,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-4-maverick,data_narrative,50,671.56,0.04,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-4-scout,data_narrative,50,767.2,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
minimax/minimax-01,data_narrative,200,1074.635,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
minimax/minimax-m2-her,data_narrative,50,1879.32,0.0,0.0,0.0,0.06,3.0,1.0,0.0,,,CLEAN
mistralai/ministral-8b-2512,data_narrative,50,1206.28,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-large-2512,data_narrative,50,1041.46,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-medium-3.1,data_narrative,50,1230.76,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-nemo,data_narrative,50,504.42,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-small-3.1-24b-instruct,data_narrative,200,117.555,0.0,0.26,0.0,0.0,3.0,0.6666666666666666,0.3333333333333333,,,CLEAN
mistralai/mixtral-8x22b-instruct,data_narrative,50,725.12,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/pixtral-large-2411,data_narrative,200,866.245,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
moonshotai/kimi-k2-0905,data_narrative,200,644.92,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
moonshotai/kimi-k2.5,data_narrative,200,627.285,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
moonshotai/kimi-k2.6,data_narrative,50,979.42,0.16,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
morph/morph-v3-fast,data_narrative,200,18767.215,0.0,0.0,0.0,0.005,3.0,0.6666666666666666,0.3333333333333333,,,CLEAN
nex-agi/deepseek-v3.1-nex-n1,data_narrative,50,792.28,0.16,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nousresearch/hermes-3-llama-3.1-405b,data_narrative,50,713.26,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nousresearch/hermes-3-llama-3.1-70b,data_narrative,50,2362.4,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nousresearch/hermes-4-405b,data_narrative,50,638.9,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nousresearch/hermes-4-70b,data_narrative,50,724.18,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nvidia/nemotron-3-nano-30b-a3b,data_narrative,50,1593.88,0.0,0.0,0.0,0.0,3.0,0.3333333333333333,0.0,,on-task 33%,AUDIT_ONLY
nvidia/nemotron-3-super-120b-a12b,data_narrative,50,952.42,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nvidia/nemotron-nano-12b-v2-vl,data_narrative,50,822.78,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nvidia/nemotron-nano-9b-v2,data_narrative,200,753.935,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4.1,data_narrative,50,888.66,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4.1-mini,data_narrative,50,831.32,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4o,data_narrative,50,1048.8,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4o-mini,data_narrative,50,908.64,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.1,data_narrative,50,1046.68,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.4,data_narrative,50,820.26,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.4-mini,data_narrative,50,722.7,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.4-nano,data_narrative,50,941.04,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.5,data_narrative,50,808.5,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
qwen/qwen-turbo,data_narrative,200,792.865,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
qwen/qwen3-14b,data_narrative,50,360.22,0.46,0.0,0.0,0.0,3.0,1.0,0.0,empty 46%,,HEURISTIC_ONLY
qwen/qwen3-next-80b-a3b-instruct,data_narrative,50,677.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
qwen/qwen3.5-flash-02-23,data_narrative,50,966.66,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
tencent/hunyuan-a13b-instruct,data_narrative,50,851.74,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-4.5v,data_narrative,50,49.02,0.92,0.0,0.0,0.0,3.0,1.0,0.0,empty 92%,,HEURISTIC_ONLY
z-ai/glm-4.6,data_narrative,50,297.86,0.58,0.0,0.0,0.0,3.0,1.0,0.0,empty 58%,,HEURISTIC_ONLY
z-ai/glm-4.7,data_narrative,50,746.42,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-5,data_narrative,50,789.7,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-5-turbo,data_narrative,50,923.38,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-5.1,data_narrative,50,946.46,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
ai21/jamba-large-1.7,eqbench_creative_writing_v3,50,9161.66,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
allenai/olmo-3.1-32b-instruct,eqbench_creative_writing_v3,50,6503.44,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-2-lite-v1,eqbench_creative_writing_v3,50,8001.98,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-lite-v1,eqbench_creative_writing_v3,50,6026.0,0.0,0.0,0.02,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-micro-v1,eqbench_creative_writing_v3,50,5672.16,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-pro-v1,eqbench_creative_writing_v3,50,5617.56,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-3.7-sonnet,eqbench_creative_writing_v3,50,6437.6,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-haiku-4.5,eqbench_creative_writing_v3,50,6665.5,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.5,eqbench_creative_writing_v3,50,6069.16,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.6,eqbench_creative_writing_v3,50,6143.34,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.6-fast,eqbench_creative_writing_v3,50,6274.26,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.7,eqbench_creative_writing_v3,50,5613.06,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-sonnet-4,eqbench_creative_writing_v3,50,6256.4,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-sonnet-4.5,eqbench_creative_writing_v3,50,5838.52,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-sonnet-4.6,eqbench_creative_writing_v3,50,5864.9,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
arcee-ai/trinity-large-preview,eqbench_creative_writing_v3,50,5742.18,0.0,0.0,0.0,0.02,3.0,1.0,0.3333333333333333,,,CLEAN
baidu/ernie-4.5-300b-a47b,eqbench_creative_writing_v3,96,6644.697916666667,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
baidu/ernie-4.5-vl-424b-a47b,eqbench_creative_writing_v3,50,6838.1,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepcogito/cogito-v2.1-671b,eqbench_creative_writing_v3,50,6168.28,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-chat,eqbench_creative_writing_v3,50,4338.46,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-chat-v3-0324,eqbench_creative_writing_v3,50,4490.54,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-chat-v3.1,eqbench_creative_writing_v3,50,6531.56,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-v3.1-terminus,eqbench_creative_writing_v3,50,6784.94,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-v3.2,eqbench_creative_writing_v3,96,6419.479166666667,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-v3.2-exp,eqbench_creative_writing_v3,50,6512.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemini-2.5-flash,eqbench_creative_writing_v3,96,7447.84375,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-2-27b-it,eqbench_creative_writing_v3,50,4002.84,0.04,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-3-12b-it,eqbench_creative_writing_v3,50,7281.44,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-3-27b-it,eqbench_creative_writing_v3,50,6682.98,0.06,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-3-4b-it,eqbench_creative_writing_v3,50,6450.9,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-4-26b-a4b-it,eqbench_creative_writing_v3,50,6680.36,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-4-31b-it,eqbench_creative_writing_v3,50,5716.98,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
ibm-granite/granite-4.0-h-micro,eqbench_creative_writing_v3,50,5825.64,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3-8b-instruct,eqbench_creative_writing_v3,50,3851.02,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3.1-70b-instruct,eqbench_creative_writing_v3,50,4633.86,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3.1-8b-instruct,eqbench_creative_writing_v3,50,4540.02,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3.2-11b-vision-instruct,eqbench_creative_writing_v3,50,4807.06,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3.2-3b-instruct,eqbench_creative_writing_v3,50,5241.58,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3.3-70b-instruct,eqbench_creative_writing_v3,96,5686.666666666667,0.0,0.0104166666666666,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-4-maverick,eqbench_creative_writing_v3,50,5206.88,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-4-scout,eqbench_creative_writing_v3,50,5374.28,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
minimax/minimax-01,eqbench_creative_writing_v3,50,5963.4,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
minimax/minimax-m2-her,eqbench_creative_writing_v3,50,3080.48,0.0,0.0,0.0,0.0,3.0,0.6666666666666666,0.0,,,CLEAN
mistralai/ministral-8b-2512,eqbench_creative_writing_v3,50,6513.34,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-large-2512,eqbench_creative_writing_v3,50,6669.72,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-medium-3.1,eqbench_creative_writing_v3,50,6452.92,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-nemo,eqbench_creative_writing_v3,50,7109.72,0.0,0.0,0.0,0.02,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-small-3.1-24b-instruct,eqbench_creative_writing_v3,50,5435.92,0.0,0.1,0.0,0.0,3.0,0.6666666666666666,0.3333333333333333,,,CLEAN
mistralai/mixtral-8x22b-instruct,eqbench_creative_writing_v3,50,6355.1,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/pixtral-large-2411,eqbench_creative_writing_v3,50,6134.52,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
moonshotai/kimi-k2-0905,eqbench_creative_writing_v3,96,7211.28125,0.0104166666666666,0.0,0.0,0.0104166666666666,3.0,1.0,0.0,,,CLEAN
moonshotai/kimi-k2.5,eqbench_creative_writing_v3,96,7493.020833333333,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
moonshotai/kimi-k2.6,eqbench_creative_writing_v3,50,7658.68,0.04,0.0,0.02,0.02,3.0,0.6666666666666666,0.0,,,CLEAN
morph/morph-v3-fast,eqbench_creative_writing_v3,50,12820.78,0.0,0.0,0.0,0.0,3.0,0.3333333333333333,0.3333333333333333,,on-task 33%,AUDIT_ONLY
nex-agi/deepseek-v3.1-nex-n1,eqbench_creative_writing_v3,50,6768.18,0.0,0.0,0.06,0.0,3.0,1.0,0.0,,,CLEAN
nousresearch/hermes-3-llama-3.1-405b,eqbench_creative_writing_v3,50,4166.58,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nousresearch/hermes-3-llama-3.1-70b,eqbench_creative_writing_v3,50,17302.38,0.0,0.0,0.02,0.02,3.0,0.3333333333333333,1.0,,on-task 33%; garbled 100%,AUDIT_ONLY
nousresearch/hermes-4-405b,eqbench_creative_writing_v3,50,5908.5,0.0,0.0,0.02,0.0,3.0,1.0,0.0,,,CLEAN
nousresearch/hermes-4-70b,eqbench_creative_writing_v3,50,5962.0,0.0,0.0,0.0,0.02,3.0,1.0,0.0,,,CLEAN
nvidia/nemotron-3-nano-30b-a3b,eqbench_creative_writing_v3,50,12184.78,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nvidia/nemotron-3-super-120b-a12b,eqbench_creative_writing_v3,96,8867.135416666666,0.1458333333333333,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nvidia/nemotron-nano-12b-v2-vl,eqbench_creative_writing_v3,50,6191.92,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nvidia/nemotron-nano-9b-v2,eqbench_creative_writing_v3,50,11317.72,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4.1,eqbench_creative_writing_v3,50,5732.58,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4.1-mini,eqbench_creative_writing_v3,50,5471.12,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4o,eqbench_creative_writing_v3,50,5186.9,0.06,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4o-mini,eqbench_creative_writing_v3,50,5429.78,0.08,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.1,eqbench_creative_writing_v3,50,14854.8,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.4,eqbench_creative_writing_v3,50,10640.22,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.4-mini,eqbench_creative_writing_v3,50,10201.18,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.4-nano,eqbench_creative_writing_v3,50,13820.14,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.5,eqbench_creative_writing_v3,50,13202.42,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
qwen/qwen-turbo,eqbench_creative_writing_v3,50,4850.82,0.0,0.0,0.02,0.0,3.0,1.0,0.0,,,CLEAN
qwen/qwen3-14b,eqbench_creative_writing_v3,50,6018.68,0.06,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
qwen/qwen3-next-80b-a3b-instruct,eqbench_creative_writing_v3,50,5892.12,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
qwen/qwen3.5-flash-02-23,eqbench_creative_writing_v3,50,6799.14,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
tencent/hunyuan-a13b-instruct,eqbench_creative_writing_v3,50,6581.96,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-4.5v,eqbench_creative_writing_v3,50,6612.38,0.06,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-4.6,eqbench_creative_writing_v3,96,7514.020833333333,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-4.7,eqbench_creative_writing_v3,50,7769.86,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-5,eqbench_creative_writing_v3,96,6423.15625,0.0104166666666666,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-5-turbo,eqbench_creative_writing_v3,96,5398.71875,0.0104166666666666,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-5.1,eqbench_creative_writing_v3,96,5926.46875,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
ai21/jamba-large-1.7,fann_or_flop,50,6622.88,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
allenai/olmo-3.1-32b-instruct,fann_or_flop,50,5691.66,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-2-lite-v1,fann_or_flop,50,9477.64,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-lite-v1,fann_or_flop,50,6563.26,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-micro-v1,fann_or_flop,50,5821.86,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-pro-v1,fann_or_flop,50,6351.98,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-3.7-sonnet,fann_or_flop,50,4370.74,0.02,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-haiku-4.5,fann_or_flop,50,5720.88,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.5,fann_or_flop,50,5460.46,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.6,fann_or_flop,50,6003.22,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.6-fast,fann_or_flop,50,5993.42,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.7,fann_or_flop,50,5503.62,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-sonnet-4,fann_or_flop,50,4503.86,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-sonnet-4.5,fann_or_flop,50,4412.18,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-sonnet-4.6,fann_or_flop,50,5943.9,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
arcee-ai/trinity-large-preview,fann_or_flop,50,3972.1,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
baidu/ernie-4.5-300b-a47b,fann_or_flop,200,2993.05,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
baidu/ernie-4.5-vl-424b-a47b,fann_or_flop,50,4932.44,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepcogito/cogito-v2.1-671b,fann_or_flop,50,3155.34,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-chat,fann_or_flop,50,4258.42,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-chat-v3-0324,fann_or_flop,50,3625.3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-chat-v3.1,fann_or_flop,50,6974.32,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-v3.1-terminus,fann_or_flop,50,6930.04,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-v3.2,fann_or_flop,200,4402.735,0.0,0.0,0.0,0.005,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-v3.2-exp,fann_or_flop,50,6229.42,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemini-2.5-flash,fann_or_flop,50,8738.86,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-2-27b-it,fann_or_flop,50,3486.98,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-3-12b-it,fann_or_flop,50,6884.7,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-3-27b-it,fann_or_flop,50,6671.32,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-3-4b-it,fann_or_flop,50,7758.96,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-4-26b-a4b-it,fann_or_flop,50,6139.52,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-4-31b-it,fann_or_flop,50,6004.5,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
ibm-granite/granite-4.0-h-micro,fann_or_flop,50,4226.44,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3-8b-instruct,fann_or_flop,50,6422.9,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3.1-70b-instruct,fann_or_flop,50,6102.02,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3.1-8b-instruct,fann_or_flop,50,5287.76,0.0,0.0,0.0,0.0,3.0,1.0,0.3333333333333333,,,CLEAN
meta-llama/llama-3.2-11b-vision-instruct,fann_or_flop,50,5897.82,0.0,0.0,0.0,0.0,3.0,1.0,0.3333333333333333,,,CLEAN
meta-llama/llama-3.2-3b-instruct,fann_or_flop,50,7411.64,0.0,0.0,0.0,0.14,3.0,0.6666666666666666,1.0,,garbled 100%,AUDIT_ONLY
meta-llama/llama-3.3-70b-instruct,fann_or_flop,200,3467.375,0.0,0.0,0.0,0.005,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-4-maverick,fann_or_flop,50,5562.4,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-4-scout,fann_or_flop,50,4885.92,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
minimax/minimax-01,fann_or_flop,50,5050.94,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
minimax/minimax-m2-her,fann_or_flop,50,5510.28,0.0,0.0,0.0,0.06,3.0,1.0,0.0,,,CLEAN
mistralai/ministral-8b-2512,fann_or_flop,50,9936.36,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-large-2512,fann_or_flop,50,8932.26,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-medium-3.1,fann_or_flop,50,8385.58,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-nemo,fann_or_flop,50,2962.16,0.0,0.04,0.0,0.02,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-small-3.1-24b-instruct,fann_or_flop,50,6017.66,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mixtral-8x22b-instruct,fann_or_flop,50,9110.18,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/pixtral-large-2411,fann_or_flop,50,4266.62,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
moonshotai/kimi-k2-0905,fann_or_flop,200,2779.52,0.0,0.0,0.0,0.165,3.0,1.0,0.0,,,CLEAN
moonshotai/kimi-k2.5,fann_or_flop,200,2715.74,0.0,0.0,0.0,0.13,3.0,1.0,0.0,,,CLEAN
moonshotai/kimi-k2.6,fann_or_flop,50,6849.34,0.04,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
morph/morph-v3-fast,fann_or_flop,50,4314.42,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,on-task 0%,AUDIT_ONLY
nex-agi/deepseek-v3.1-nex-n1,fann_or_flop,50,8296.2,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nousresearch/hermes-3-llama-3.1-405b,fann_or_flop,50,4187.2,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nousresearch/hermes-3-llama-3.1-70b,fann_or_flop,50,13714.62,0.0,0.0,0.0,0.08,3.0,0.6666666666666666,0.3333333333333333,,,CLEAN
nousresearch/hermes-4-405b,fann_or_flop,50,3162.8,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nousresearch/hermes-4-70b,fann_or_flop,50,4747.02,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nvidia/nemotron-3-nano-30b-a3b,fann_or_flop,50,8619.84,0.0,0.0,0.0,0.0,3.0,0.6666666666666666,0.0,,,CLEAN
nvidia/nemotron-3-super-120b-a12b,fann_or_flop,50,11096.6,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nvidia/nemotron-nano-12b-v2-vl,fann_or_flop,50,7599.96,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nvidia/nemotron-nano-9b-v2,fann_or_flop,50,7700.54,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4.1,fann_or_flop,50,6596.36,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4.1-mini,fann_or_flop,50,6422.36,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4o,fann_or_flop,50,5227.36,0.04,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4o-mini,fann_or_flop,50,5804.24,0.02,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.1,fann_or_flop,50,8443.6,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.4,fann_or_flop,50,9969.08,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.4-mini,fann_or_flop,50,8721.94,0.0,0.0,0.0,0.0,6.0,1.0,0.0,,,CLEAN
