model,rb_acc,n_items_x,mean_z,Brainstorming,Figurative Language,Humor,Problem Solving,STEM,Story / Narrative,datasets,n_metric_obs,mean_z_intel,median_z,rank,agc_rank,aa_match_name,aa_match_conf,gpqa_diamond,hle,mmlu_pro_aa,math_500_aa,livecodebench_aa,aime_2025_aa,aime_2024_aa,scicode_aa,ifbench_aa,tau2_aa,mmmu_pro_aa,critpt_aa,intelligence_index_aa,math_index_aa,coding_index_aa,agentic_index_aa,hf_match_name,hf_match_conf,lb_match_name,lb_match_conf,zebra_match_name,zebra_match_conf,arc_agi_1,arc_agi_2,has_gpqa,has_hle,has_mmlu_pro,has_math500_or_aime,has_livecodebench,has_scicode,has_zebra,has_musr,has_bbh,has_arc_agi_2,has_intel_idx,has_math_idx,has_coding_idx,n_benchmarks_covered,lb_zebra_puzzle,lb_amps_hard,lb_olympiad,lb_math_comp,lb_web_of_lies,lb_code_generation,zebra_puzzle_acc,bbh_hf,musr_hf,math_lvl5_hf,mmlu_pro_hf,gpqa_hf,ifeval_hf,n_items_y,accuracy_strict,accuracy_parsed,mean_lev_to_D,n_errors,lsa_acc,model_underscore
minimax/minimax-m2-her,0.3137593552101324,1737,-1.003257950337942,-1.0453915705829602,-1.0698727825874892,-0.9264214366432793,-0.9568100043465396,-0.4632384627497101,-1.349834608981508,79,387,-0.3644205476842397,-0.3984145808800965,122,123,MiniMax-M2.1,exact,0.83,0.222,0.875,,0.81,0.827,,0.407,0.699,0.854,,0.003,39.42,82.67,32.77,47.4,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.062,0.096,264.758,0.0,0.096,minimax_minimax-m2-her
openai/gpt-4.1-mini,0.307426597582038,1737,0.2184976263162161,0.1715570128443967,0.3824590192630758,0.3356417877026093,-0.0888976211138149,0.1271680500566837,0.3069992577799148,68,351,0.2103853627603904,0.2357627512599888,46,35,GPT-4.1 mini,exact,0.664,0.046,0.781,0.925,0.483,0.463,0.43,0.404,0.383,0.529,0.587,0.0,22.9,46.33,18.52,25.15,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.328,0.328,3.53,0.0,0.328,openai_gpt-4.1-mini
google/gemma-4-26b-a4b-it,0.3062751871042026,1737,0.5391290527155899,0.7342056616830833,0.8678428507851961,0.6154849618485579,0.3690527193745443,0.5724239933630129,0.3845790223946898,79,387,0.3448845835198325,0.3630290819751777,13,11,Gemma 4 26B A4B (Reasoning),exact,0.792,0.183,,,,,,0.4,0.724,0.436,0.692,0.0,31.21,,22.44,32.15,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,,500.0,0.288,0.288,3.922,0.0,0.288,google_gemma-4-26b-a4b-it
minimax/minimax-01,0.3005181347150259,1737,-0.3374645303211036,-0.8399168244516245,-0.4968664455462059,-0.2895299750457558,-0.4663343272927168,-0.4621467115729253,-0.0617330396787937,79,387,-0.1623597543853451,-0.0854357657716758,104,100,,none,,,,,,,,,,,,,,,,,,none,,none,,none,,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,,,,,,,,,,,,,,500.0,0.376,0.376,1.998,0.0,0.376,minimax_minimax-01
amazon/nova-pro-v1,0.2982153137593552,1737,-0.2863374935459662,-0.9477644285267512,-0.4485364352629091,-0.3266777389048816,0.3452476670346722,-0.0877826237828598,-0.4299827119776847,79,387,0.0050495107017025,0.1040792223404166,85,83,Nova Pro,exact,0.499,0.034,0.691,0.786,0.233,0.07,0.107,0.208,0.381,0.14,0.443,0.0,13.48,7.0,10.98,4.68,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.32,0.32,2.332,0.0,0.32,amazon_nova-pro-v1
nvidia/nemotron-nano-9b-v2,0.2959124928036845,1737,-0.3965624377560227,-0.1749702918591717,-0.1853818776568319,-0.8240396369127804,-0.3149397793941782,-0.104126645662507,-0.4836038035947408,79,387,-0.061350953080207,-0.0171488919376775,91,94,NVIDIA Nemotron Nano 9B V2 (Reasoning),fuzzy(0.80),0.57,0.046,0.742,,0.724,0.697,,0.22,0.276,0.219,,0.0,14.76,69.67,8.34,9.43,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.05,0.05,11.698,0.0,0.05,nvidia_nemotron-nano-9b-v2
nousresearch/hermes-3-llama-3.1-405b,0.2930339666090961,1737,-0.1186092001130121,-0.4114559909668871,-0.1720944930397413,0.1305197561394112,0.4162384678405601,-0.3283007325787735,-0.2869454983563308,79,387,0.1020360115834375,0.1373283665574907,74,82,,none,,,,,,,,,,,,,,,,,,none,,none,,none,,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,,,,,,,,,,,,,,500.0,0.378,0.378,2.128,0.0,0.378,nousresearch_hermes-3-llama-3.1-405b
ai21/jamba-large-1.7,0.2855497985031663,1737,-0.0464872034832229,-1.3023613124078917,-0.015244552294599,0.0014199153609549,0.213641838374848,-0.1057571818317744,0.0278389180978595,79,387,0.143453369456854,0.1953249574094355,63,51,Jamba 1.7 Large,exact,0.39,0.038,0.577,0.6,0.181,0.023,0.057,0.188,0.352,0.135,,0.0,10.88,2.33,7.77,4.48,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.224,0.224,2.908,30.0,0.224,ai21_jamba-large-1.7
meta-llama/llama-4-scout,0.2803684513529073,1737,-0.371456026799106,0.0840248943843496,-0.5417745989303366,-0.1495328480873607,-0.4241532260988555,-0.3513518878897092,-0.3859797417632521,79,387,-0.0827993870244825,-0.0110189210620067,96,93,Llama 4 Scout,exact,0.587,0.043,0.752,0.844,0.299,0.14,0.283,0.17,0.395,0.155,0.529,0.0,13.52,14.0,6.68,5.17,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.274,0.274,7.074,0.0,0.274,meta-llama_llama-4-scout
google/gemma-3-27b-it,0.2705814622913068,1737,-0.0755332502573238,0.3329979797212565,-0.5519495078803374,-0.0428988047160091,-0.2382024236783188,-0.232233882132884,0.2349549897629892,79,387,0.0181875005596307,0.0591223272288228,82,81,Gemma 3 27B Instruct,fuzzy(0.75),0.428,0.047,0.669,0.883,0.137,0.207,0.253,0.212,0.318,0.105,0.48,0.0,10.31,20.67,9.59,3.51,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.266,0.266,2.664,0.0,0.266,google_gemma-3-27b-it
nousresearch/hermes-4-405b,0.2671272308578008,1737,0.1522804273627606,-0.0944865383151058,0.448526647842386,0.2224597615400284,0.7292743328526183,0.1296426799015796,-0.2605536417175855,79,387,0.1588436532900822,0.1638325145868214,57,68,Hermes 4 - Llama-3.1 405B (Reasoning),exact,0.727,0.103,0.829,,0.686,0.697,,0.252,0.327,0.222,,0.003,18.56,69.67,15.99,12.64,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.388,0.388,1.846,0.0,0.388,nousresearch_hermes-4-405b
nvidia/nemotron-nano-12b-v2-vl,0.2642487046632124,1737,-0.2591702253940353,-0.3323602506522612,-0.365014214314253,-0.4153916259164247,-0.0963979432594394,-0.0147707284448447,-0.2707435592009499,79,387,-0.0876659028985589,-0.0472844805246021,98,99,NVIDIA Nemotron Nano 12B v2 VL (Reasoning),fuzzy(0.83),0.572,0.053,0.759,,0.694,0.75,,0.262,0.319,0.213,0.529,0.0,14.89,75.0,11.75,7.12,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.008,0.008,12.236,0.0,0.008,nvidia_nemotron-nano-12b-v2-vl
amazon/nova-2-lite-v1,0.2636729994242948,1737,-0.2842359992358177,-0.1782359858092049,-0.750630800874887,-0.445544450717303,-0.2967903318087089,-0.0664695542147262,-0.1022995297759755,79,387,-0.06113107831592,0.0240576362312352,90,96,Nova 2.0 Lite (high),exact,0.811,0.109,0.818,,0.711,0.943,,0.369,0.707,0.728,0.638,,34.54317368742869,94.33,23.42,37.34,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.196,0.198,8.41,0.0,0.198,amazon_nova-2-lite-v1
google/gemma-2-27b-it,0.2619458837075417,1737,-0.4832402932829347,-0.2484044946533554,-1.110474143254925,-0.1968095161527633,-0.03301994142871,-0.4076892211066494,-0.533440138916554,79,387,-0.3453879212108402,-0.1462870425859011,120,122,,none,,,,,,,,,,,,,,,,,google/gemma-2-27b-it,exact,,none,gemma-2-27b-it,exact,,,True,False,True,True,False,False,True,True,True,False,False,False,False,6,,,,,,,16.3,49.27284215130387,9.112760416666667,23.86706948640484,38.34958628841608,16.666666666666664,79.77677008116243,500.0,0.214,0.214,2.666,0.0,0.214,google_gemma-2-27b-it
mistralai/pixtral-large-2411,0.2544617156016119,1737,-0.2412897366292769,-0.0304660788454785,-0.2974699227587103,-0.3422004220302909,0.0482834313624242,-0.3352439199742603,-0.2258911684681297,79,387,0.0337292982954132,0.1008041966931079,79,85,Pixtral Large,exact,0.505,0.036,0.701,0.714,0.261,0.023,0.07,0.292,0.345,0.365,0.506,,14.000187381306649,2.33,,,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,False,6,,,,,,,,,,,,,,500.0,0.232,0.232,3.006,0.0,0.232,mistralai_pixtral-large-2411
openai/gpt-4o-mini,0.2527345998848589,1737,0.0415103674316924,-0.3737964233038564,0.2878619589676306,-0.1283936274265736,0.3385961708570792,0.233440716420622,-0.1819676924286097,79,387,0.1652174591807425,0.2108679682070693,55,67,GPT-4o mini,exact,0.426,0.04,0.648,0.789,0.234,0.147,0.117,0.229,0.31,,0.415,,12.647336534486156,14.67,,,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,False,6,,,,,,,,,,,,,,500.0,0.214,0.214,8.018,0.0,0.214,openai_gpt-4o-mini
meta-llama/llama-3.3-70b-instruct,0.2487046632124352,1737,-0.3293449561603684,-0.3697521367943534,-0.8079852510235959,-0.1393932460514705,0.0960853115230055,-0.47852872355177,-0.2248357224038097,79,387,0.0153004101286368,0.1106433861348911,83,84,Llama 3.3 Instruct 70B,exact,0.498,0.04,0.713,0.773,0.288,0.077,0.3,0.26,0.471,0.266,,0.0,14.49,7.67,10.7,9.09,meta-llama/Llama-3.3-70B-Instruct,exact,,none,,none,,,True,True,True,True,True,True,False,True,True,False,True,True,True,8,,,,,,,,56.561410788022194,15.565625,48.338368580060425,48.12906323877069,10.514541387024613,89.97581971391463,500.0,0.364,0.364,2.786,0.0,0.364,meta-llama_llama-3.3-70b-instruct
meta-llama/llama-3.1-70b-instruct,0.2469775474956822,1737,-0.2146690191164701,-0.144064868055874,-0.357124957544057,-0.0416333651446357,0.1524715932138623,-0.450514799363271,-0.1912721312467483,79,387,-0.0738288773321132,-0.0206231789516569,94,91,Llama 3.1 Instruct 70B,exact,0.409,0.046,0.676,0.649,0.232,0.04,0.173,0.267,0.344,0.152,,0.0,12.47,4.0,10.93,5.07,meta-llama/Llama-3.1-70B-Instruct,exact,,none,,none,,,True,True,True,True,True,True,False,True,True,False,True,True,True,8,,,,,,,,55.92799173898473,17.691145833333334,38.06646525679759,47.87972813238771,14.205816554809845,86.6885419575615,500.0,0.372,0.372,2.498,0.0,0.372,meta-llama_llama-3.1-70b-instruct
amazon/nova-lite-v1,0.238341968911917,1737,-0.2777564639943655,-0.7140045413051616,-0.1571254146231911,-0.1466476833718911,0.4915169579896399,-0.2376799584485785,-0.6898986198661745,79,387,-0.0495801767047446,0.0739351045460587,87,89,Nova Lite,exact,0.433,0.046,0.59,0.765,0.167,0.07,0.107,0.139,0.341,0.175,0.378,0.0,12.65,7.0,5.13,5.85,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.298,0.298,3.366,0.0,0.298,amazon_nova-lite-v1
nvidia/nemotron-3-nano-30b-a3b,0.238341968911917,1737,-0.965981006645092,-0.187743197852759,-1.6186685140795352,-1.1540357952217948,-1.963440176911136,-0.3546872167993339,-0.5881370358833314,79,387,-0.5817652632071487,-0.3877247758983924,126,128,NVIDIA Nemotron 3 Nano 30B A3B (Reasoning),exact,0.757,0.102,0.794,,0.741,0.91,,0.296,0.711,0.409,,0.009,24.27,91.0,18.97,19.14,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.044,0.044,601.106,0.0,0.044,nvidia_nemotron-3-nano-30b-a3b
nousresearch/hermes-4-70b,0.2354634427173287,1737,-0.080410589861893,-0.4071716670871748,0.287174838277902,0.1653052368137432,0.3060982300098606,-0.1129574754105257,-0.4977154772286973,79,387,0.0561289361989145,0.0853899918668859,77,77,Hermes 4 - Llama-3.1 70B (Reasoning),exact,0.699,0.079,0.811,,0.653,0.687,,0.341,0.313,0.225,,0.0,15.99,68.67,14.41,11.7,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.342,0.342,2.616,0.0,0.342,nousresearch_hermes-4-70b
tencent/hunyuan-a13b-instruct,0.2337363270005757,1737,-0.385968477238753,-0.7394545719361675,0.0517836707522848,-0.3655978142410192,-0.1882105062860632,-0.1160328802306515,-0.7921518762662073,79,387,-0.1788446644526707,-0.1212490060801028,105,116,,none,,,,,,,,,,,,,,,,,,none,,none,,none,,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,,,,,,,,,,,,,,500.0,0.152,0.152,4.148,0.0,0.152,tencent_hunyuan-a13b-instruct
allenai/olmo-3.1-32b-instruct,0.229706390328152,1737,0.0366400778314336,0.1675606964808113,0.0736284572839897,-0.0860519397413879,0.0335517513114593,-0.0169286653566337,0.1440910574395823,79,387,0.1109338143505172,0.150807679677262,73,63,Olmo 3.1 32B Instruct,exact,0.539,0.049,,,,,,0.167,0.392,0.213,,0.0,12.16,,5.56,7.12,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,,500.0,0.148,0.148,4.794,0.0,0.148,allenai_olmo-3.1-32b-instruct
mistralai/ministral-8b-2512,0.2262521588946459,1737,-0.1540348066153424,0.6306788134639391,-0.4759875982848857,-0.2416555204264115,-0.4710576730992024,0.0094345934452431,-0.0099229990366408,79,387,-0.1537274154668388,-0.1208656854099569,102,111,Ministral 3 8B,exact,0.471,0.043,0.642,,0.303,0.317,,0.208,0.291,0.266,0.46,0.0,14.84,31.67,9.97,16.66,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.18,0.18,4.41,0.0,0.18,mistralai_ministral-8b-2512
google/gemma-3-12b-it,0.2187679907887161,1737,-0.0166908964490324,0.0399640215149719,-0.02885802841311,-0.1067829341823171,-0.1715677474028158,0.0501284434670292,0.0507178054063954,79,387,0.0444779014774211,0.1267218649018771,78,80,Gemma 3 12B Instruct,fuzzy(0.75),0.349,0.048,0.595,0.853,0.137,0.183,0.22,0.174,0.367,0.108,0.375,0.0,8.79,18.33,6.29,3.61,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.228,0.228,4.18,0.0,0.228,google_gemma-3-12b-it
ibm-granite/granite-4.0-h-micro,0.2181922855497985,1737,-0.7190772909628861,-1.0718641980671466,-0.5291993925524003,-0.5284367674327636,-0.5846476799421584,-0.4371515923639211,-0.999661865330988,79,387,-0.3030936561669139,-0.237220141031626,117,121,Granite 4.0 Micro,fuzzy(0.80),0.336,0.051,0.447,,0.18,0.06,,0.119,0.248,0.126,,0.0,7.67,6.0,4.98,4.19,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.118,0.118,3.988,0.0,0.118,ibm-granite_granite-4.0-h-micro
nousresearch/hermes-3-llama-3.1-70b,0.2135866436384571,1737,-1.5651955656991097,-2.0653003366134004,-1.4678332849641569,-1.583068866651727,-1.2140000376080875,-1.0515321316173023,-1.904839502464468,79,387,-0.8177686840284704,-0.7272487900924494,133,133,Hermes 3 - Llama-3.1 70B,exact,0.401,0.041,0.571,0.538,0.188,,0.023,0.231,,,,,10.647383158323558,,,,NousResearch/Hermes-3-Llama-3.1-70B,exact,,none,,none,,,True,True,True,True,True,True,False,True,True,False,True,False,False,8,,,,,,,,53.76540869130056,23.42864583333333,20.996978851963743,41.40625,14.87695749440716,76.61438316998897,500.0,0.318,0.318,9.46,0.0,0.318,nousresearch_hermes-3-llama-3.1-70b
amazon/nova-micro-v1,0.1963154864709269,1737,-0.5249593544825012,-0.4069771013299675,-0.2809552971426472,-0.6364077345139142,-0.4383668179458019,-0.5250925687805509,-0.6118963102955772,79,387,-0.2134530120707707,-0.1674759656773062,111,106,Nova Micro,exact,0.358,0.047,0.531,0.703,0.14,0.06,0.08,0.094,0.294,0.14,,0.0,10.27,6.0,4.14,4.68,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.164,0.164,4.658,0.0,0.164,amazon_nova-micro-v1
meta-llama/llama-3.1-8b-instruct,0.1848013816925734,1737,-0.6626096100710502,-0.5674263632559259,-0.6674600133770163,-0.4067821447040073,-0.6801758427270881,-0.628895791485837,-0.6723784809837489,79,387,-0.2901443094312994,-0.2152752622706568,115,114,Llama 3.1 Instruct 8B,exact,0.259,0.051,0.476,0.519,0.116,0.043,0.077,0.132,0.286,0.164,,0.0,11.76,4.33,4.9,5.46,meta-llama/Llama-3.1-8B-Instruct,exact,,none,,none,,,True,True,True,True,True,True,False,True,True,False,True,True,True,8,,,,,,,,29.379192497334035,8.611197916666667,15.55891238670695,31.091164302600465,8.7248322147651,49.217077354752064,500.0,0.104,0.104,10.002,0.0,0.104,meta-llama_llama-3.1-8b-instruct
openai/gpt-5.4-nano,0.181922855497985,1737,0.1134374370868061,0.6062806361714789,-0.1065090606712605,0.2975581575225575,-0.3795730150359146,0.2580427101905581,0.1897057099019988,68,351,0.1631478493303409,0.2197185168366603,56,54,GPT-5.4 nano (xhigh),exact,0.817,0.265,,,,,,0.469,0.759,0.76,0.654,0.093,43.98,,43.91,47.6,,none,gpt-5-nano,fuzzy(0.75),,none,,,True,True,False,False,False,True,True,False,False,False,True,False,True,4,11.5,96.0,54.522,86.275,,76.056,,,,,,,,500.0,0.062,0.062,7.046,0.0,0.062,openai_gpt-5.4-nano
mistralai/mistral-nemo,0.1813471502590673,1737,-0.4207475842896794,-0.3321963079032518,-0.4235418001426513,0.0021961159958433,-0.3867922888961781,-0.23049646696735,-0.6969412160900897,79,387,-0.151166070385954,-0.0854357657716758,101,105,,none,,,,,,,,,,,,,,,,,,none,,none,,none,,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,,,,,,,,,,,,,,500.0,0.132,0.132,4.308,0.0,0.132,mistralai_mistral-nemo
meta-llama/llama-3.2-11b-vision-instruct,0.1761658031088082,1737,-0.5741100683397901,-0.5350514671323362,-0.4585912387099503,-0.3266928766599661,-0.6141924434823702,-0.4187656418727748,-0.7212595479848719,79,387,-0.2125233310523991,-0.1530291019529579,110,112,Llama 3.2 Instruct 11B (Vision),exact,0.221,0.052,0.464,0.516,0.11,0.017,0.093,0.112,0.304,0.146,0.293,0.0,8.73,1.67,4.25,4.87,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.106,0.106,8.23,0.0,0.106,meta-llama_llama-3.2-11b-vision-instruct
google/gemma-3-4b-it,0.160621761658031,1737,-0.2920188377522608,0.1979223145295588,-0.1481408158150937,-0.157941995899603,-0.8684848935930398,-0.1155792906690846,-0.339433669546141,79,387,-0.2572632707870519,-0.1727879077089493,112,108,Gemma 3 4B Instruct,fuzzy(0.75),0.291,0.052,0.417,0.766,0.112,0.127,0.063,0.073,0.283,0.05,0.299,0.0,6.3,12.67,2.94,1.66,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.146,0.146,6.734,0.0,0.146,google_gemma-3-4b-it
meta-llama/llama-3-8b-instruct,0.1560161197466897,1737,-0.665075501825374,-0.428886962811659,-0.7349091307375245,-0.645956560632376,-0.5863613700290234,-0.6498373318026015,-0.5770034833964425,79,387,-0.3017938829433294,-0.298017930263123,116,118,Llama 3 Instruct 8B,fuzzy(0.75),0.296,0.051,0.405,0.499,0.096,,0.0,0.119,0.246,0.0,,0.0,6.38,,3.98,0.0,AI-Sweden-Models/Llama-3-8B-instruct,exact,,none,,none,,,True,True,True,True,True,True,False,True,True,False,True,False,True,8,,,,,,,,18.388095615027524,19.93671875,3.8519637462235647,17.747118794326237,2.1252796420581683,24.012841482821138,500.0,0.092,0.092,7.314,0.0,0.092,meta-llama_llama-3-8b-instruct
morph/morph-v3-fast,0.1410477835348301,1737,-1.4175979366826674,-3.74684301519614,-0.6249412537608506,-1.53681077588049,-1.7812764781843125,-0.989822983118324,-1.4272722249911212,79,387,-0.6108730769870315,-0.7305100940459707,127,131,,none,,,,,,,,,,,,,,,,,,none,,none,,none,,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,
meta-llama/llama-3.2-3b-instruct,0.1243523316062176,1737,-1.0489392280791037,-0.8257385340654512,-1.11617716443637,-1.1607983544711995,-0.8894855726044402,-0.7622226729356459,-1.1306475690908169,79,387,-0.4776319990671237,-0.4659796717051935,125,124,Llama 3.2 Instruct 3B,exact,0.255,0.052,0.347,0.489,0.083,0.033,0.067,0.052,0.262,0.211,,,9.702177369527044,3.33,,,meta-llama/Llama-3.2-3B-Instruct,exact,,none,Llama-3.2-3B-Instruct@together,exact,,,True,True,True,True,True,True,True,True,True,False,True,True,False,9,,,,,,,7.4,24.05918644688548,1.3734374999999996,17.673716012084594,24.386820330969268,3.803131991051453,73.93161256576994,500.0,0.044,0.044,6.454,0.0,0.044,meta-llama_llama-3.2-3b-instruct
anthropic/claude-sonnet-4.5,0.0972941853770869,1737,0.4885360822494439,0.7857996489809443,0.177203729106777,0.6307484371127842,0.7022486657049346,0.3488286745692046,0.5008510576363576,79,387,0.3999393639334018,0.3940177704970428,9,10,Claude 4.5 Sonnet (Reasoning),exact,0.834,0.173,0.875,,0.714,0.88,,0.447,0.573,0.781,0.687,0.011,43.03,88.0,38.63,51.72,,none,claude-sonnet-4-5-20250929-thinking-64k,fuzzy(0.80),,none,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,67.5,97.0,83.058,90.196,,80.282,,,,,,,,500.0,0.098,0.384,7.864,0.0,0.384,anthropic_claude-sonnet-4.5
