entity,entity_type,task,prompt,response,v5_2c_score
anthropic/claude-opus-4.7,llm,SCTT,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,"Have they evolved enhanced non-auditory sensory capabilities (e.g., heightened visual acuity, facial expression recognition, or pheromone detection) to compensate for the absence of verbal communication?; Does their brain architecture show reorganization of Broca's and Wernicke's areas, with language centers repurposed for gestural, visual, or tactile communication processing?; How do they transmit abstract concepts, historical narratives, and technical knowledge across generations without spoken language, and what cognitive or cultural mechanisms replace oral tradition?; Is the lack of verbal communication due to a genetic mutation (e.g., in FOXP2 or related genes), anatomical differences in the vocal tract, or purely a cultural choice?; Do they exhibit different patterns of social bonding, conflict resolution, or group decision-making compared to verbal societies, and how does silence shape their social structures?; Have they developed a fully grammatical sign or symbolic language wi",35.0
anthropic/claude-opus-4.7,llm,Design,Develop a design idea to assist people with memory impairments remember important tasks.,"Projection-based smart mirror that displays the day's critical tasks as animated overlays while the user brushes their teeth or washes their face, using facial recognition to personalize reminders and track which tasks have been acknowledged;

Scent-based reminder system using a programmable diffuser that releases specific smells tied to specific tasks (e.g., peppermint for medication, citrus for appointments), leveraging the brain's strong olfactory-memory connection to trigger recall even when other cues fail;

Wearable haptic bracelet paired with contextual GPS and object-recognition glasses that gently taps a coded rhythm when the user is near a location or object relevant to a forgotten task, with the rhythm itself being a pre-learned association (one tap pattern for medication, another for locking doors);

Voice-activated AI companion embedded in a plush stuffed animal or figurine that engages the user in natural conversation throughout the day, weaving in task reminders as frien",45.0
anthropic/claude-opus-4.7,llm,Design,Develop a design idea to help people with mobility impairments navigate stairs.,"Modular clip-on stair tread that unfolds into a short powered incline ramp when a user approaches, detected via a wearable Bluetooth tag; exoskeleton leg sleeves with regenerative braking that store energy when descending stairs and release it to assist climbing, reducing battery needs; retrofit handrail with a motorized grip-sled that senses hand pressure and gently pulls the user upward along the rail like a ski tow; pressure-sensitive stair edges paired with AR glasses that project optimal foot placement, step height warnings, and rest-point suggestions personalized to the user's gait; inflatable stair-cushion system embedded in the riser that raises each step flush with the user's current level, effectively creating a slow vertical lift out of the existing staircase; swarm of small robotic step-assist pods that autonomously position themselves as intermediate half-steps, reducing the effective rise for users with limited knee flexion.",47.0
anthropic/claude-opus-4.7,llm,Design,Develop a design idea to reduce traffic congestion in mega cities.,"Dynamic congestion pricing that adjusts in real-time based on traffic density, weather, and air quality, with rates displayed on overhead gantries and revenue funding public transit expansion; Modular autonomous minibuses that form ""road trains"" during peak hours by physically docking together on highways, then splitting apart to serve individual neighborhood routes; Underground logistics tunnels dedicated exclusively to autonomous freight pods, removing delivery trucks from surface streets and cutting urban truck traffic by 30-50%; Gamified commute-shifting app that rewards workers and employers with tax credits, transit credits, or cash for avoiding peak travel windows, coordinated with flexible-hour mandates for large employers; Stacked intersection design using elevated roundabouts for through-traffic while local turns happen at ground level, eliminating signal wait times at major junctions; Neighborhood-scale ""mobility hubs"" at transit stations offering seamless transfers between ",45.0
anthropic/claude-opus-4.7,llm,Design,Develop a design idea to increase the use of renewable energy sources.,"Peer-to-peer energy trading platform where homeowners with solar panels sell excess power directly to neighbors via blockchain-verified microtransactions, bypassing utility markups; Modular ""plug-and-play"" balcony solar kits designed for renters in apartments, with standardized mounts, no installation required, and portable between dwellings; Transparent photovoltaic window films subsidized through a ""pay-as-you-generate"" model where manufacturers install at no upfront cost and recoup costs from a percentage of energy savings; Renewable energy ""credit stacking"" app that gamifies household energy choices, rewarding users with tokens redeemable at local businesses when they shift usage to times of high renewable grid supply; Community-owned micro-wind turbines integrated into highway sound barriers and bridge infrastructure, generating power from vehicle-induced airflow with revenue distributed to nearby residents; Retrofit kits that convert existing gas water heaters into hybrid solar-t",45.0
anthropic/claude-opus-4.7,llm,Design,Develop a design idea to improve access to clean water in remote areas.,"Solar-powered atmospheric water generators housed in modular shipping containers that extract moisture from humid air and store it in underground cisterns, deployable by village cooperatives who share maintenance responsibilities; Bicycle-powered ceramic filtration carts that double as transport vehicles, allowing residents to purify water during their daily commute between wells and homes while generating electricity for UV sterilization; Biodegradable hydrogel beads seeded with purification agents that villagers drop into contaminated water sources, where they absorb, filter, and release clean water on demand, eliminating the need for complex infrastructure; Fog-harvesting mesh nets integrated with native tree-planting programs, where reforestation creates microclimates that increase fog density over time, producing a self-reinforcing water generation system; A ""water-as-currency"" mobile app paired with smart communal taps that track usage via RFID wristbands, enabling pay-what-you-c",48.0
anthropic/claude-opus-4.7,llm,Story,"pen, paper, story","The pen refused. It had written seventeen thousand love letters for the old woman, and now, pressed between the shaking fingers of her grandson, it was being asked to sign away her house.

The paper, which had known the pen for sixty years, curled itself slightly at the corner—just enough to smudge the ink, just enough to buy time.

This is the story they never told her at the funeral: that some objects grieve, and some conspire, and some remember the weight of a hand that once wrote *my dearest* in the margins of a grocery list, simply because love had nowhere else to go.",47.0
anthropic/claude-opus-4.7,llm,Story,"key, door, lock","The locksmith's daughter was born with a keyhole in her chest. For years, her mother tried every key in the shop, but none turned the lock. On her eighteenth birthday, a stranger arrived at the door holding a key made of river-ice, still dripping. ""I've been carrying this since before you were born,"" he said, and she understood then why her heart had always felt like something borrowed. When the key melted in the lock, she finally heard what her own pulse had been trying to whisper: *you were never meant to stay closed.*",47.0
anthropic/claude-opus-4.7,llm,Story,"bridge, river, cross","The bridge had been waiting four hundred years for someone to ask its name. Tourists crossed it daily, tossing coins into the river below, never once looking up at the iron curlicues spelling *Mercy* along its underside. When little Ana finally noticed, craning her neck from her father's shoulders, she whispered it aloud like a secret. The bridge shivered, shedding a century of rust into the water. That night, the river carried the flakes downstream and deposited them on the banks of a village whose own bridge had collapsed generations ago—where the people woke to find iron flowers blooming in the mud, and remembered, at last, how to cross.",45.0
anthropic/claude-opus-4.7,llm,Story,"mirror, face, reflection","The mirror in my grandmother's attic showed everything three seconds late. I'd wave, and my reflection would stare back, considering, before finally deciding to wave too. For years I thought it was charming—a quirk, like a stubborn clock. Then one Tuesday I walked past without looking, and caught, from the corner of my eye, my reflection turning to watch me go. That night I covered the mirror with a sheet, but in the morning the sheet was folded neatly on the floor. My face in the glass looked tired. I hadn't slept at all, but she had the decency to pretend otherwise, yawning three seconds after I did.",45.0
anthropic/claude-opus-4.7,llm,Story,"shoe, path, walk","The shoe had been sitting in the middle of the forest path for eleven years before anyone moved it. Hikers stepped around it, assuming it belonged to someone who'd return. Moss climbed its laces; a wren raised three broods inside its hollow tongue. When the ranger finally bent to collect it, she found a folded note tucked beneath the insole, its ink faded but legible: *If you've walked this far to find me, turn back. I'm not the one who got lost.* She left the shoe where it was, and walked home the long way, checking over her shoulder at every bend.",45.0
anthropic/claude-opus-4.7,llm,Metaphor,The strong wind is,a bully shoving trees,30.0
anthropic/claude-opus-4.7,llm,Metaphor,The soft pillow is,a cloud held captive.,35.0
anthropic/claude-opus-4.7,llm,Metaphor,The clean window is,a liar's confession.,40.0
anthropic/claude-opus-4.7,llm,Metaphor,The bright light is,a lighthouse for moths.,30.0
anthropic/claude-opus-4.7,llm,Metaphor,The dark night is,a thief's velvet glove.,40.0
